127.0.0.1 - - [17/Oct/2024:11:09:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:26 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:26 +0530] "GET /test/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:26 +0530] "GET /test/imgs/ashOffice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:30 +0530] "GET /test/imgs/wls.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:34 +0530] "GET /test/imgs/pro.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:38 +0530] "GET /test/imgs/whiteOffice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:42 +0530] "GET /test/imgs/grp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:09:51 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:10:05 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:11:16 +0530] "GET /test/SMaccount.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:12:22 +0530] "GET /test/staffLogV.jsp HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:12:22 +0530] "GET /test/imgs/callred.png HTTP/1.1" 200 10064
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:21:20 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:27:09 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:27:11 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:27:13 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:30:17 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:30:19 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:30:31 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:30:37 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:30:39 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:20 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:24 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:26 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:30 +0530] "GET /test/LoginServlet?button=Slog HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:34 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:36 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [17/Oct/2024:11:36:38 +0530] "GET /test/LoginServlet?button=Alog HTTP/1.1" 200 16
